Loan Description,,,,,,Issue Date,Payable,Callable,Interest Payable,,Amount in Millions of Dollars,,,,
,,,,,,,,,,,Issued,Retired,Inflation Adj.,,Outstanding
Marketable:,,,,,,,,,,,,,,,
,Treasury Bills (Maturity Value):,,,,1d,,,,,,,,,,
,CUSIP:,,,Yield:,,Issue Date:,Payable Date:,,Interest Payable:,,Issued:,,,,Outstanding:
,,Bill 1,,7.6,,7/5/1990,1/3/1991,,1/3/1991,,9209,,,,18471
,,Bill 2,,7.18,,10/4/1990,,,,,9262,,,,
,,Bill 3,,7.75,,7/12/1990,1/10/1991,,1/10/1991,,9271,,,,18696
,,Bill 4,,7.19,,10/11/1990,,,,,9245,,,,
,,Bill 5,,7.21,,1/18/1990,1/17/1991,,1/17/1991,,9554,,,,28895
,,Bill 6,,7.52,,7/19/1990,,,,,9573,,,,
,,Bill 7,,7.18,,10/18/1990,,,,,9768,,,,
,,Bill 8,,7.4,,7/26/1990,1/24/1991,,1/24/1991,,9184,,,,17821
,,Bill 9,,7.2,,10/25/1990,,,,,8673,,,,
,,Bill 10,,7.37,,8/2/1990,1/31/1991,,1/31/1991,,9585,,,,19534
,,Bill 11,,7.12,,11/1/1990,,,,,9949,,,,
,,Bill 12,,7.19,,8/9/1990,2/7/1991,,2/7/1991,,9230,,,,19228
,,Bill 13,,7.07,,11/8/1990,,,,,9998,,,,
,,Bill 14,,7.42,,2/15/1990,2/14/1991,,2/14/1991,,9594,,,,29195
,,Bill 15,,7.31,,8/16/1990,,,,,9286,,,,
,,Bill 16,,7.05,,11/15/1990,,,,,10315,,,,
,,Bill 17,,7.45,,8/23/1990,2/21/1991,,2/21/1991,,9265,,,,19382
,,Bill 18,,7.08,,11/23/1990,,,,,10117,,,,
,,Bill 19,,7.48,,8/30/1990,2/28/1991,,2/28/1991,,8953,,,,19045
,,Bill 20,,7.02,,11/29/1990,,,,,10092,,,,
,,Bill 21,,7.36,,9/6/1990,3/7/1991,,3/7/1991,,9252,,,,19360
,,Bill 22,,7.06,,12/6/1990,,,,,10108,,,,
,,Bill 23,,7.76,,3/15/1990,3/14/1991,,3/14/1991,,9910,,,,29781
,,Bill 24,,7.34,,9/13/1990,,,,,9746,,,,
,,Bill 25,,6.86,,12/13/1990,,,,,10125,,,,
,,Bill 26,,7.3,,9/20/1990,3/21/1991,,3/21/1991,,9252,,,,19386
,,Bill 27,,6.78,,12/20/1990,,,,,10134,,,,
,,Bill 28,,7.33,,9/27/1990,3/28/1991,,3/28/1991,,9224,,,,19259
