Loan Description,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Marketable:,,,,,,,,,,,,,,,
,Treasury Bills (Maturity Value):,,,,1d,,,,,,,,,,
,CUSIP:,,,Yield:,,Issue Date:,Payable Date:,,Interest Payable:,,Issued:,Retired:,Inflation Adjusted:,,Outstanding:
,,Bills1,,12.976,,7/8/1982,1/6/1983,,1/6/1983,,5345,,,,10971
,,Bills2,,8.101,,10/7/1982,,,,,5626,,,,
,,Bills3,,11.967,,7/15/1982,1/13/1983,,1/13/1983,,5366,,,,10983
,,Bills4,,7.429,,10/14/1982,,,,,5617,,,,
,,Bills5,,11.441,,7/22/1982,1/20/1983,,1/20/1983,,5529,,,,16164
,,Bills6,,7.436,,10/21/1982,,,,,5627,,,,
,,Bills7,,7.92,,12/1/1982,,,,,5008,,,,
,,Bills8,,13.143,,1/28/1982,1/27/1983,,1/27/1983,,5294,,,,20462
,,Bills9,,11.378,,7/29/1982,,,,,5531,,,,
,,Bills10,,8.03,,10/28/1982,,,,,5631,,,,
,,Bills11,,8.409,,11/15/1982,,,,,4006,,,,
,,Bills12,,10.671,,8/5/1982,2/3/1983,,2/3/1983,,5542,,,,11187
,,Bills13,,7.812,,11/4/1982,,,,,5645,,,,
,,Bills14,,10.94,,8/12/1982,2/10/1983,,2/10/1983,,5528,,,,11162
,,Bills15,,7.964,,11/12/1982,,,,,5634,,,,
,,Bills16,,9.821,,8/19/1982,2/17/1983,,2/17/1983,,5541,,,,11169
,,Bills17,,8.447,,11/18/1982,,,,,5628,,,,
,,Bills18,,13.179,,2/25/1982,2/24/1983,,2/24/1983,,5271,,,,16424
,,Bills19,,8.988,,8/26/1982,,,,,5519,,,,
,,Bills20,,7.943,,11/26/1982,,,,,5634,,,,
,,Bills21,,9.746,,9/2/1982,3/3/1983,,3/3/1983,,5512,,,,11328
,,Bills22,,8.28,,12/2/1982,,,,,5816,,,,
,,Bills23,,9.605,,9/9/1982,3/10/1983,,3/10/1983,,5627,,,,11453
,,Bills24,,7.956,,12/9/1982,,,,,5826,,,,
,,Bills25,,9.704,,9/16/1982,3/17/1983,,3/17/1983,,5638,,,,11490
,,Bills26,,7.995,,12/16/1982,,,,,5852,,,,
,,Bills27,,12.509,,3/25/1982,3/24/1983,,3/24/1983,,5277,,,,16770
,,Bills28,,9.443,,9/23/1982,,,,,5690,,,,
,,Bills29,,7.857,,12/23/1982,,,,,5803,,,,
,,Bills30,,9.196,,9/30/1982,3/31/1983,,3/31/1983,,5121,,,,10932
,,Bills31,,7.975,,12/30/1982,,,,,5811,,,,
,,Bills32,,9.23,,10/7/1982,4/7/1983,,4/7/1983,,5653,,,,5653
,,Bills33,,7.734,,10/14/1982,4/14/1983,,4/14/1983,,5626,,,,5626
,,Bills34,,12.73,,4/22/1982,4/21/1983,,4/21/1983,,5269,,,,10894
,,Bills35,,7.761,,10/21/1982,,,,,5625,,,,
,,Bills36,,8.472,,10/28/1982,4/28/1983,,4/28/1983,,5627,,,,8630
,,Bills37,,8.411,,12/6/1982,,,,,3003,,,,
,,Bills38,,8.23,,11/4/1982,5/5/1983,,5/5/1983,,5628,,,,5628
,,Bills39,,8.397,,11/12/1982,5/12/1983,,5/12/1983,,5632,,,,5632
,,Bills40,,12.193,,5/20/1982,5/19/1983,,5/19/1983,,5581,,,,11212
,,Bills41,,8.539,,11/18/1982,,,,,5631,,,,
,,Bills42,,8.109,,11/26/1982,5/26/1983,,5/26/1983,,5622,,,,5622
,,Bills43,,8.511,,12/2/1982,6/2/1983,,6/2/1983,,5812,,,,5812
,,Bills44,,8.254,,12/9/1982,6/9/1983,,6/9/1983,,5822,,,,5822
,,Bills45,,12.173,,6/17/1982,6/16/1983,,6/16/1983,,5777,,,,11601
,,Bills46,,8.205,,12/16/1982,,,,,5824,,,,
,,Bills47,,8.104,,12/23/1982,6/23/1983,,6/23/1983,,5814,,,,5814
,,Bills48,,8.051,,12/30/1982,6/30/1983,,6/30/1983,,5812,,,,5812
,,Bills49,,12.318,,7/15/1982,7/14/1983,,7/14/1983,,6034,,,,6034
,,Bills50,,11.195,,8/12/1982,8/11/1983,,8/11/1983,,6262,,,,6262
,,Bills51,,10.286,,9/9/1982,9/8/1983,,9/8/1983,,7127,,,,7127
,,Bills52,,9.521,,10/7/1982,10/6/1983,,10/6/1983,,7012,,,,7012
,,Bills53,,8.567,,11/4/1982,11/3/1983,,11/3/1983,,7017,,,,7017
,,Bills54,,8.372,,12/2/1982,12/1/1983,,12/1/1983,,7008,,,,7008
,,Bills55,,8.095,,12/30/1982,12/29/1983,,12/29/1983,,7108,,,,7108
,,,,,,,,,,,,,,,
,Treasury Notes,,,Rate:,,Issue Date:,Payable:,,Interest Payable:,,Issued:,Retired:,,,Outstanding:
,CUSIP:,,,,,,,,,,,,,,
,,Note1,,8,,2/17/1976,2/15/1983,,2/15 - 8/15,,7958,,,,7958
,,Note2,,7,,11/15/1976,11/15/1983,,5/15 - 11/15,,2309,,,,2309
,,Note3,,7.875,,4/5/1978,5/15/1983,,5/15 - 11/15,,2573,,,,2573
,,Note4,,9.25,,3/5/1979,3/31/1983,,3/31 - 9/30,,2930,,,,2930
,,Note5,,8.875,,7/2/1979,6/30/1983,,6/30 - 12/31,,3123,,,,3123
,,Note6,,9.75,,10/10/1979,9/30/1983,,3/31 - 9/30,,2802,,,,2802
,,Note7,,11.625,,11/15/1979,5/15/1983,,5/15 - 11/15,,3618,,,,3618
,,Note8,,10.5,,12/31/1979,12/31/1983,,6/30 - 12/31,,2701,,,,2701
,,Note9,,11.875,,2/15/1980,8/15/1983,,2/15 - 8/15,,4285,,,,4285
,,Note10,,9.25,,5/15/1980,8/15/1983,,2/15 - 8/15,,6670,,,,6670
,,Note11,,9.875,,8/15/1980,11/15/1983,,5/15 - 11/15,,5832,,,,5832
,,Note12,,13.625,,2/2/1981,1/31/1983,,1/31 - 7/31,,5191,,,,5191
,,Note13,,13.875,,3/2/1981,2/28/1983,,2/28 - 8/31,,5438,,,,5438
,,Note14,,12.625,,3/31/1981,3/31/1983,,3/31 - 9/30,,5583,,,,5583
,,Note15,,14.5,,4/30/1981,4/30/1983,,4/30 - 10/31,,4586,,,,4586
,,Note16,,15.625,,6/1/1981,5/31/1983,,5/31 - 11/30,,4763,,,,4763
,,Note17,,14.625,,6/30/1981,6/30/1983,,6/30 - 12/31,,4607,,,,4607
,,Note18,,15.875,,7/31/1981,7/31/1983,,1/31 - 7/31,,4974,,,,4974
,,Note19,,16.25,,8/31/1981,8/31/1983,,2/28 - 8/31,,5431,,,,5431
,,Note20,,16,,9/30/1981,9/30/1983,,3/31 - 9/30,,5268,,,,5268
,,Note21,,15.5,,11/2/1981,10/31/1983,,4/30 - 10/31,,5470,,,,5470
,,Note22,,12.125,,11/30/1981,11/30/1983,,5/31 - 11/30,,5493,,,,5493
,,Note23,,13,,12/31/1981,12/31/1983,,6/30 - 12/31,,5427,,,,5427
,,Note24,,7.25,,2/15/1977,2/15/1984,,2/15 - 8/15,,8438,,,,8438
,,Note25,,7.25,,8/15/1977,8/15/1984,,2/15 - 8/15,,2863,,,,2863
,,Note26,,9.25,,9/5/1979,5/15/1984,,5/15 - 11/15,,2587,,,,2587
,,Note27,,14.25,,3/31/1980,3/31/1984,,3/31 - 9/30,,2914,,,,2914
,,Note28,,8.875,,6/30/1980,6/30/1984,,6/30 - 12/31,,3726,,,,3726
,,Note29,,12.125,,9/30/1980,9/30/1984,,3/31 - 9/30,,11012,,,,11012
,,Note30,,13.25,,11/17/1980,5/15/1984,,5/15 - 11/15,,4315,,,,4315
,,Note31,,14,,12/31/1980,12/31/1984,,6/30 - 12/31,,3620,,,,3620
,,Note32,,13.25,,2/17/1981,8/15/1984,,2/15 - 8/15,,4662,,,,4662
,,Note33,,15.75,,5/15/1981,5/15/1984,,5/15 - 11/15,,3776,,,,3776
,,Note34,,16,,8/17/1981,11/15/1984,,5/15 - 11/15,,5780,,,,5780
,,Note35,,14.375,,11/16/1981,11/15/1984,,5/15 - 11/15,,6213,,,,6213
,,Note36,,15,,2/1/1982,1/31/1984,,1/31 - 7/31,,6208,,,,6208
,,Note37,,15.125,,3/1/1982,2/29/1984,,2/28 - 8/31,,5950,,,,5950
,,Note38,,14.125,,3/31/1982,3/31/1984,,3/31 - 9/30,,6219,,,,6219
,,Note39,,13.875,,4/30/1982,4/30/1984,,4/30 - 10/31,,5877,,,,5877
,,Note40,,13.75,,6/1/1982,5/31/1984,,5/31 - 11/30,,6018,,,,6018
,,Note41,,14.375,,6/30/1982,6/30/1984,,6/30 - 12/31,,6232,,,,6232
,,Note42,,13.125,,8/2/1982,7/31/1984,,1/31 - 7/31,,7177,,,,7177
